Line Number,Action,Status,ErrorCode,ErrorMessage,WarningCode,WarningMessage,Code,Message,ItemID,ReferenceID,ApplicationData,StartTime,EndTime,AuctionLengthFee,BoldFee,BorderFee,BuyItNowFee,CategoryFeaturedFee,CurrencyID,FeaturedFee,FeaturedGalleryFee,FixedPriceDurationFee,GalleryFee,GiftIconFee,HighlightFee,InsertionFee,InternationalInsertionFee,ListingDesignerFee,ListingFee,PhotoDisplayFee,PhotoFee,ProPackBundleFee,ReserveFee,SchedulingFee,SubtitleFee,CustomLabel,PrivateNotes,BasicUpgradePackBundleFee,ValuePackBundleFee,ProPackPlusBundleFee,SellerInventoryID,CrossBorderTradeNorthAmericaFee,CrossBorderTradeGBFee,RefundFromSeller,TotalRefundToBuyer,CorrelationID
650,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306902420796,,,2026-04-25T23:17:07.000Z,2026-08-25T23:17:07.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306902420785,,,2026-04-25T23:17:06.000Z,2026-08-25T23:17:06.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306902420775,,,2026-04-25T23:17:05.000Z,2026-08-25T23:17:05.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306902420773,,,2026-04-25T23:17:05.000Z,2026-08-25T23:17:05.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306902420763,,,2026-04-25T23:17:04.000Z,2026-08-25T23:17:04.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306902420752,,,2026-04-25T23:17:03.000Z,2026-08-25T23:17:03.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306902420750,,,2026-04-25T23:17:03.000Z,2026-08-25T23:17:03.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306902420745,,,2026-04-25T23:17:02.000Z,2026-08-25T23:17:02.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306902420740,,,2026-04-25T23:17:02.000Z,2026-08-25T23:17:02.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306902420741,,,2026-04-25T23:17:03.000Z,2026-08-25T23:17:03.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
